City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Condition
236,Moindou,-21.6924,165.677,78.75,96,100,2.84,NC,12/13/2021 1:31,moderate rain
237,Fukue,32.6881,128.8419,44.96,65,75,9.22,JP,12/13/2021 1:31,broken clouds
238,Ponnani,10.767,75.9252,74.52,81,91,7.56,IN,12/13/2021 1:32,overcast clouds
239,Sutysky,49.0425,28.4173,34.59,92,100,9.31,UA,12/13/2021 1:32,overcast clouds
240,Acapulco,16.8634,-99.8901,80.42,83,1,3.44,MX,12/13/2021 1:28,clear sky
241,Kamina,-8.7386,24.9906,64.62,95,100,5.06,CD,12/13/2021 1:32,overcast clouds
242,Yulara,-25.2406,130.9889,82.24,42,10,12.66,AU,12/13/2021 1:32,clear sky
243,Sitka,57.0531,-135.33,35.49,55,75,11.5,US,12/13/2021 1:32,light rain
244,Taganak,6.0833,118.3,82.54,78,99,1.83,PH,12/13/2021 1:32,overcast clouds
245,Enkoping,59.6361,17.0777,33.03,93,64,4.68,SE,12/13/2021 1:32,broken clouds
246,Arona,28.0996,-16.681,62.38,66,20,1.01,ES,12/13/2021 1:32,few clouds
247,Illapel,-31.6308,-71.1653,58.39,77,0,2.93,CL,12/13/2021 1:31,clear sky
248,Inirida,3.8653,-67.9239,76.35,87,82,3.18,CO,12/13/2021 1:32,broken clouds
249,Laramie,41.3114,-105.5911,42.53,34,0,4,US,12/13/2021 1:29,clear sky
250,Teahupoo,-17.8333,-149.2667,78.76,78,60,11.72,PF,12/13/2021 1:32,broken clouds
251,Shimoda,34.6667,138.95,57.56,57,28,5.01,JP,12/13/2021 1:32,scattered clouds
252,Buala,-8.145,159.5921,84.63,77,83,9.01,SB,12/13/2021 1:32,light rain
253,Newport,51.5877,-2.9984,54.45,89,100,18.57,GB,12/13/2021 1:20,light rain
254,Pimentel,-6.8367,-79.9342,66.99,86,71,9.53,PE,12/13/2021 1:32,broken clouds
255,Nanortalik,60.1432,-45.2371,24.13,78,100,9.84,GL,12/13/2021 1:32,overcast clouds
256,Mama,58.3106,112.8986,-3.35,99,100,4.14,RU,12/13/2021 1:32,overcast clouds
257,Pontes E Lacerda,-15.2261,-59.3353,72.9,98,100,4.85,BR,12/13/2021 1:32,overcast clouds
258,Abomey,7.1829,1.9912,74.86,88,52,2.53,BJ,12/13/2021 1:32,broken clouds
259,Katherine,-14.4667,132.2667,93.52,49,3,11.5,AU,12/13/2021 1:32,clear sky
260,Yarovoye,52.9273,78.58,5.38,96,94,8.81,RU,12/13/2021 1:32,overcast clouds
261,Trogir,43.5125,16.2517,45.79,52,0,6.91,HR,12/13/2021 1:27,clear sky
262,Manvi,15.9833,77.05,69.85,83,100,5.08,IN,12/13/2021 1:32,overcast clouds
263,Montlucon,46.3333,2.6,37.11,97,93,4.03,FR,12/13/2021 1:32,overcast clouds
264,Rawson,-43.3002,-65.1023,56.86,71,100,8.77,AR,12/13/2021 1:32,overcast clouds
265,Ulaanbaatar,47.9077,106.8832,6.55,73,5,2.66,MN,12/13/2021 1:27,clear sky
266,Poplar Bluff,36.757,-90.3929,41.63,65,1,6.91,US,12/13/2021 1:32,clear sky
267,Narsaq,60.9167,-46.05,17.82,77,68,6.62,GL,12/13/2021 1:32,broken clouds
268,Tura,25.5198,90.2201,61.75,69,0,2.1,IN,12/13/2021 1:33,clear sky
269,Manacapuru,-3.2997,-60.6206,75.78,91,100,3.98,BR,12/13/2021 1:33,light rain
270,Xianyang,34.3378,108.7026,34.84,60,0,6.71,CN,12/13/2021 1:33,clear sky
271,Yar-Sale,66.8333,70.8333,-17.97,100,87,2.64,RU,12/13/2021 1:33,overcast clouds
